Date,ASIN,Rank,Reviews,Price
8/25/22 16:42,B0B6ZZMTT2,#1,"71,077",19.99
8/25/22 16:42,B01M8O5HLY,#2,"75,477",35.09
8/25/22 16:42,B07QY58JZ7,#3,"66,426",42.87
8/25/22 16:42,B000KPPIL6,#4,"25,888",54.99
8/25/22 16:42,B083WJFNBQ,#5,"17,936",12.98
8/25/22 16:42,B01M9GSSJW,#6,"13,905",22.54
8/25/22 16:42,B09FZQPGD2,#7,"2,858",13.99
8/25/22 16:42,B01MQJDQFF,#8,"18,494",10
8/25/22 16:42,B005AFHRH4,#9,"19,485",47.5
8/25/22 16:42,B00268XJMA,#10,"22,725",39.83
8/25/22 16:42,B0921TWSBR,#11,"3,562",9.99
8/25/22 16:42,B0049I2J6W,#12,"13,483",50.75
8/25/22 16:42,B076KNTQ52,#13,"14,448",29.99
8/25/22 16:42,B09PWJJSPN,#14,"16,476",25.58
8/25/22 16:42,B09P32YCHN,#15,"4,975",10.99
8/25/22 16:42,B01M9GSQST,#16,"15,677",42
8/25/22 16:42,B079M32QJX,#17,"7,574",15.99
8/25/22 16:42,B073QFL4M3,#18,"10,131",9.49
8/25/22 16:42,B08FDJDLL1,#19,"3,093",29.99
8/25/22 16:42,B002SZC5CQ,#20,"7,017",54.99
8/25/22 16:42,B09L321P16,#21,"1,152",29.99
8/25/22 16:42,B08W72YXFP,#22,"2,511",11
8/25/22 16:42,B0B5K7KDSF,#23,"2,098",36.99
8/25/22 16:42,B08YZ65MDW,#24,"2,479",11
8/25/22 16:42,B079MQQGL1,#25,"6,060",25.99
8/25/22 16:42,B07VDM12HQ,#26,"11,792",9.99
8/25/22 16:42,B00OELXPRG,#27,544,13.99
8/25/22 16:42,B009R9EIDU,#28,530,36.59
8/25/22 16:42,B01MQ27OYT,#29,"10,011",21.65
8/25/22 16:42,B0899VH8Z2,#30,"1,955",10.49
8/25/22 16:42,B09RNCZ56M,#31,"1,020",14.99
8/25/22 16:42,B085MDJFCQ,#32,"7,500",19.99
8/25/22 16:42,B07XFLZB3Z,#33,487,12.99
8/25/22 16:42,B003EMABT6,#35,"16,679",21.99
8/25/22 16:42,B079HZYTGK,#36,"3,197",54.96
8/25/22 16:42,B07NS18RS3,#37,"7,285",14.99
8/25/22 16:42,B000G1IL7C,#38,"8,612",39.99
8/25/22 16:42,B07FVLC7ZC,#39,"3,254",14.99
8/25/22 16:42,B09NPJQ6DZ,#40,"23,107",16.99
8/25/22 16:42,B08J7WHZ6G,#41,"8,174",24.99
8/25/22 16:42,B00P72H5J0,#42,"18,476",39.95
8/25/22 16:42,B076JZJJKY,#43,"1,473",24.99
8/25/22 16:42,B01MDS6B5L,#44,"4,486",11.35
8/25/22 16:42,B08S7N7PJL,#45,"1,965",29.99
8/25/22 16:42,B09TYV4PGH,#46,"11,470",81.02
8/25/22 16:42,B0B3NJLQRB,#47,152,9.99
8/25/22 16:42,B09TVLDH8D,#48,445,9.99
8/25/22 16:42,B07S6998VM,#49,"1,704",10.99
8/25/22 16:42,B0862QND6D,#50,"1,954",7.97
8/25/22 16:42,B0B3HHDPH7,#51,"2,367",38.99
8/25/22 16:42,B07D5YVTR7,#52,"3,790",8.99
8/25/22 16:42,B09BNTJ6NY,#53,751,29.99
8/25/22 16:42,B007S8XYAK,#54,"5,364",22.64
8/25/22 16:42,B0862Q8RKX,#55,"1,805",9.99
8/25/22 16:42,B0B3JQ7GSK,#56,943,39.99
8/25/22 16:42,B087Q13L65,#57,"6,517",20.99
8/25/22 16:42,B078GMB86M,#58,"18,782",28.03
8/25/22 16:42,B0B2D6CQT1,#59,598,34.99
8/25/22 16:42,B0B1MW3JTM,#60,191,35.99
8/25/22 16:42,B00QGB3FEK,#61,"5,470",44.2
8/25/22 16:42,B09DTLDNGG,#62,"10,373",22.12
8/25/22 16:42,B008VGAG40,#63,"6,404",64.41
8/25/22 16:42,B000KPP352,#64,323,59.99
8/25/22 16:42,B08W2XR7YB,#65,"2,689",13.99
8/25/22 16:42,B09XXV2W5K,#66,75,19.99
8/25/22 16:42,B07MV38GVP,#67,"2,206",22.99
8/25/22 16:42,B00PEN8UA0,#68,152,12.72
8/25/22 16:42,B08D6VJ3Z7,#69,"1,736",9.99
8/25/22 16:42,B002SZMOAO,#70,"7,067",59.99
8/25/22 16:42,B0B31CC46W,#71,"8,734",109.95
8/25/22 16:42,B08K2QSZBQ,#72,202,14.99
8/25/22 16:42,B08644FS8T,#73,"2,398",8.99
8/25/22 16:42,B01M4OZ9GZ,#74,"5,961",25.99
8/25/22 16:42,B09RWHW2WH,#75,937,69.99
8/25/22 16:42,B003E1SWZ2,#76,"5,189",49.99
8/25/22 16:42,B0012OSP78,#77,"3,235",39.99
8/25/22 16:42,B081CLF3D3,#78,"1,245",9.99
8/25/22 16:42,B09B44KZYG,#79,"1,237",32.99
8/25/22 16:42,B09V7MRLXJ,#80,"4,987",34.99
8/25/22 16:42,B01M8O58N1,#81,"6,519",21.99
8/25/22 16:42,B00COYDLOM,#82,"6,131",18.99
8/25/22 16:42,B0012SAYQY,#83,"4,479",30.88
8/25/22 16:42,B08VKHNQ5Z,#84,"1,742",24.99
8/25/22 16:42,B081TN5XNN,#85,"1,733",47.5
8/25/22 16:42,B0B3MZGNW6,#86,142,18.99
8/25/22 16:42,B0885NNTB1,#87,"2,595",23.99
8/25/22 16:42,B092VSBFN6,#88,406,7.55
8/25/22 16:42,B08HNDZ9TZ,#89,"1,402",13.99
8/25/22 16:42,B0918RLL31,#90,"4,818",13.99
8/25/22 16:42,B08CY3SK8X,#91,"2,350",18.98
8/25/22 16:42,B09VGQBXZ7,#92,107,69.99
8/25/22 16:42,B099NWLN3F,#93,822,29.99
8/25/22 16:42,B08KGSQ2LH,#94,"1,352",37.81
8/25/22 16:42,B09TVLVL7Y,#95,365,12.99
8/25/22 16:42,B000Q8SR42,#96,"4,288",47.99
8/25/22 16:42,B0167K03T4,#98,709,23.99
8/25/22 16:42,B00KOL1888,#99,"2,350",59.99
8/25/22 16:42,B002O2HZ8M,#100,"1,143",19.99